#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840962945.36	1528384.00000	1531002.00000	0.998290008766
2751000000.00	3840962946.64	1543265.00000	1543015.00000	1.00016202046
2752000000.00	3840962947.92	1532350.00000	1531487.00000	1.00056350462
2753000000.00	3840962949.20	1511368.00000	1511434.00000	0.999956332860
2754000000.00	3840962950.48	1518964.00000	1518881.00000	1.00005464549
2755000000.00	3840962951.76	1510116.00000	1510534.00000	0.999723276669
2756000000.00	3840962953.04	1512791.00000	1511490.00000	1.00086074006
2757000000.00	3840962954.32	1520307.00000	1520192.00000	1.00007564834
2758000000.00	3840962955.60	1520897.00000	1517477.00000	1.00225374091
2759000000.00	3840962956.88	1523229.00000	1523395.00000	0.999891032858
2760000000.00	3840962958.16	1522773.00000	1524958.00000	0.998567173653
2761000000.00	3840962959.43	1519607.00000	1519902.00000	0.999805908539
2762000000.00	3840962960.71	1512893.00000	1512507.00000	1.00025520543
2763000000.00	3840962962.00	1526285.00000	1524822.00000	1.00095945625
2764000000.00	3840962963.28	1522784.00000	1523988.00000	0.999209967533
2765000000.00	3840962964.56	1524331.00000	1524692.00000	0.999763230869
2766000000.00	3840962965.84	1512088.00000	1513995.00000	0.998740418561
2767000000.00	3840962967.12	1510381.00000	1510620.00000	0.999841786816
2768000000.00	3840962968.40	1524780.00000	1523890.00000	1.00058403166
2769000000.00	3840962969.67	1528863.00000	1528272.00000	1.00038671127
2770000000.00	3840962970.95	1507810.00000	1510562.00000	0.998178161505
2771000000.00	3840962972.23	1507373.00000	1512445.00000	0.996646489624
2772000000.00	3840962973.51	1511829.00000	1511134.00000	1.00045991950
2773000000.00	3840962974.80	1518342.00000	1518310.00000	1.00002107606
2774000000.00	3840962976.08	1510882.00000	1510732.00000	1.00009928962
2775000000.00	3840962977.35	1514690.00000	1517462.00000	0.998173265624
2776000000.00	3840962978.63	1518506.00000	1518189.00000	1.00020880141
2777000000.00	3840962979.91	1524916.00000	1524211.00000	1.00046253439
2778000000.00	3840962981.19	1524951.00000	1525015.00000	0.999958033200
2779000000.00	3840962982.48	1523151.00000	1524347.00000	0.999215401743
2780000000.00	3840962983.76	1524659.00000	1529149.00000	0.997063726295
2781000000.00	3840962985.04	1520659.00000	1520772.00000	0.999925695634
2782000000.00	3840962986.32	1514219.00000	1513712.00000	1.00033493822
2783000000.00	3840962987.61	1511682.00000	1511083.00000	1.00039640443
