QEPB0421_1:101		
570.063	168.07	
570.832	186.47	
571.601	206.88	
572.37	228.57	
573.139	248.07	
573.908	262.97	
574.677	271.57	
575.445	277.78	
576.214	271.67	
576.983	265.97	
577.751	264.97	
578.52	259.78	
579.288	254.28	
580.056	251.28	
580.824	249.57	
581.592	251.28	
582.361	256.67	
583.128	263.17	
583.896	268.78	
584.664	277.57	
585.432	285.78	
586.2	292.28	
586.967	297.57	
587.735	300.07	
588.502	304.47	
589.27	308.78	
590.037	313.88	
590.804	314.47	
591.571	315.67	
592.338	318.97	
593.105	327.67	
593.872	327.57	
594.639	331.57	
595.406	338.47	
596.173	343.28	
596.939	352.67	
597.706	356.88	
598.472	363.78	
599.239	368.38	
600.005	373.57	
600.771	380.97	
601.537	386.38	
602.303	392.38	
603.07	394.67	
603.835	399.28	
604.601	406.78	
605.367	412.07	
606.133	420.57	
606.899	429.28	
607.664	463.38	
608.43	457.28	
609.195	463.67	
609.96	469.78	
610.726	482.28	
611.491	492.57	
612.256	504.07	
613.021	513.28	
613.786	523.78	
614.551	532.57	
615.316	540.88	
616.081	554.97	
616.845	567.57	
617.61	578.38	
618.374	590.67	
619.139	601.17	
619.903	611.17	
620.668	619.78	
621.432	632.67	
622.196	638.67	
622.96	647.17	
623.724	659.88	
624.488	668.17	
625.252	681.38	
626.016	690.38	
626.78	705.38	
627.543	722.97	
628.307	736.28	
629.07	755.78	
629.834	775.17	
630.597	803.38	
631.36	830.28	
632.124	866.28	
632.887	905.88	
633.65	961.67	
634.413	1025.97	
635.176	1091.88	
635.938	1158.38	
636.701	1209.17	
637.464	1246.57	
638.227	1277.47	
638.989	1297.88	
639.752	1305.17	
640.514	1306.17	
641.276	1288.78	
642.038	1279.38	
642.801	1266.88	
643.563	1278.57	
644.325	1289.28	
645.087	1306.28	
645.849	1327.88	
646.61	1350.78	
647.372	1378.38	
648.134	1406.07	
648.895	1435.57	
649.657	1466.97	
650.418	1501.38	
651.18	1541.17	
651.941	1587.78	
652.702	1638.07	
653.463	1691.78	
654.224	1738.47	
654.985	1791.47	
655.746	1833.97	
656.507	1888.78	
657.268	1934.17	
658.029	1962.28	
658.789	2009.97	
659.55	2024.28	
660.31	2044.08	
661.071	2058.28	
661.831	2060.97	
662.591	2067.47	
663.351	2069.67	
664.111	2062.97	
664.871	2056.28	
665.631	2058.87	
666.391	2061.28	
667.151	2064.08	
667.911	2075.58	
668.67	2086.47	
669.43	2103.17	
670.19	2111.67	
670.949	2135.97	
671.708	2158.37	
672.468	2165.78	
673.227	2189.87	
673.986	2210.58	
674.745	2235.28	
675.504	2251.97	
676.263	2272.58	
677.022	2293.28	
677.781	2307.67	
678.539	2325.97	
679.298	2342.67	
680.057	2352.58	
680.815	2356.87	
681.573	2373.37	
682.332	2377.17	
683.09	2387.58	
683.848	2390.17	
684.606	2393.78	
685.364	2387.67	
686.122	2384.17	
686.88	2375.67	
687.638	2375.78	
688.396	2370.78	
689.153	2360.17	
689.911	2356.47	
690.669	2343.47	
691.426	2328.97	
692.183	2323.67	
692.941	2310.28	
693.698	2301.47	
694.455	2286.17	
695.212	2291.17	
695.969	2287.08	
696.726	2278.78	
697.483	2268.58	
698.24	2264.47	
698.997	2253.28	
699.753	2256.47	
700.51	2240.47	
701.266	2242.37	
702.023	2235.78	
702.779	2231.08	
703.535	2218.47	
704.292	2204.58	
705.048	2211.87	
705.804	2195.08	
706.56	2188.78	
707.316	2183.47	
708.071	2166.47	
708.827	2147.17	
709.583	2136.17	
710.339	2112.87	
711.094	2096.17	
711.85	2084.47	
712.605	2063.37	
713.36	2048.37	
714.116	2025.47	
714.871	2013.67	
715.626	1983.97	
716.381	1968.37	
717.136	1955.58	
717.891	1925.08	
718.646	1899.28	
719.4	1876.67	
720.155	1854.28	
720.91	1839.17	
721.664	1808.17	
722.419	1787.97	
723.173	1769.47	
723.927	1740.97	
724.682	1723.47	
725.436	1709.97	
726.19	1687.38	
726.944	1660.57	
727.698	1642.17	
728.452	1629.47	
729.205	1614.88	
729.959	1605.17	
730.713	1581.47	
731.466	1570.17	
732.22	1555.38	
732.973	1542.38	
733.727	1532.88	
734.48	1519.97	
735.233	1498.88	
735.986	1486.38	
736.739	1468.97	
737.492	1449.67	
738.245	1437.78	
738.998	1414.47	
739.751	1394.97	
740.504	1384.57	
741.256	1367.38	
742.009	1354.07	
742.761	1341.78	
743.514	1332.67	
744.266	1311.47	
745.018	1304.07	
745.771	1293.17	
746.523	1282.67	
