#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840955986.66	1663205.00000	1664357.00000	0.999307840806
2751000000.00	3840955987.94	1661956.00000	1657277.00000	1.00282330594
2752000000.00	3840955989.22	1656929.00000	1658350.00000	0.999143124190
2753000000.00	3840955990.50	1649259.00000	1651446.00000	0.998675706018
2754000000.00	3840955991.79	1652780.00000	1654211.00000	0.999134935023
2755000000.00	3840955993.07	1648878.00000	1649495.00000	0.999625946123
2756000000.00	3840955994.37	1648712.00000	1650096.00000	0.999161260921
2757000000.00	3840955995.65	1652288.00000	1653088.00000	0.999516057221
2758000000.00	3840955996.93	1654533.00000	1657482.00000	0.998220795158
2759000000.00	3840955998.21	1650596.00000	1649593.00000	1.00060802877
2760000000.00	3840955999.49	1646866.00000	1646552.00000	1.00019070154
2761000000.00	3840956000.78	1649958.00000	1652453.00000	0.998490123471
2762000000.00	3840956002.06	1652972.00000	1652579.00000	1.00023781011
2763000000.00	3840956003.35	1650440.00000	1651681.00000	0.999248644260
2764000000.00	3840956004.63	1657838.00000	1657357.00000	1.00029022112
2765000000.00	3840956005.91	1642751.00000	1645000.00000	0.998632826748
2766000000.00	3840956007.19	1652435.00000	1654675.00000	0.998646259840
2767000000.00	3840956008.47	1649948.00000	1651300.00000	0.999181251135
2768000000.00	3840956009.75	1648631.00000	1646361.00000	1.00137879845
2769000000.00	3840956011.03	1651904.00000	1654720.00000	0.998298201508
2770000000.00	3840956012.31	1647635.00000	1647387.00000	1.00015054143
2771000000.00	3840956013.59	1645060.00000	1645896.00000	0.999492069973
2772000000.00	3840956014.87	1646580.00000	1646923.00000	0.999791732825
2773000000.00	3840956016.15	1638358.00000	1638664.00000	0.999813262511
2774000000.00	3840956017.44	1639842.00000	1639177.00000	1.00040569139
2775000000.00	3840956018.72	1640593.00000	1642280.00000	0.998972769564
2776000000.00	3840956020.00	1640091.00000	1645652.00000	0.996620792245
2777000000.00	3840956021.28	1649662.00000	1650445.00000	0.999525582494
2778000000.00	3840956022.55	1644898.00000	1647319.00000	0.998530339297
2779000000.00	3840956023.84	1639772.00000	1643784.00000	0.997559290028
2780000000.00	3840956025.12	1649542.00000	1651481.00000	0.998825902326
2781000000.00	3840956026.40	1652912.00000	1653832.00000	0.999443716169
2782000000.00	3840956027.68	1640983.00000	1639217.00000	1.00107734363
2783000000.00	3840956028.97	1646934.00000	1648464.00000	0.999071863262
2784000000.00	3840956030.25	1645716.00000	1648123.00000	0.998539550750
2785000000.00	3840956031.53	1643016.00000	1644202.00000	0.999278677437
2786000000.00	3840956032.81	1647655.00000	1648169.00000	0.999688138777
2787000000.00	3840956034.09	1646266.00000	1648469.00000	0.998663608476
2788000000.00	3840956035.37	1640005.00000	1642796.00000	0.998301067205
2789000000.00	3840956036.65	1639278.00000	1640695.00000	0.999136341611
2790000000.00	3840956037.93	1642707.00000	1645108.00000	0.998540521352
2791000000.00	3840956039.21	1649133.00000	1649745.00000	0.999629033578
2792000000.00	3840956040.49	1645350.00000	1646294.00000	0.999426590876
2793000000.00	3840956041.77	1640660.00000	1641531.00000	0.999469397776
2794000000.00	3840956043.07	1642088.00000	1643631.00000	0.999061224813
2795000000.00	3840956044.35	1636430.00000	1640014.00000	0.997814652802
2796000000.00	3840956045.63	1646545.00000	1646947.00000	0.999755912000
2797000000.00	3840956046.91	1641474.00000	1642079.00000	0.999631564620
2798000000.00	3840956048.19	1642621.00000	1645301.00000	0.998371118719
2799000000.00	3840956049.47	1651810.00000	1654881.00000	0.998144277444
2800000000.00	3840956050.75	1642708.00000	1642940.00000	0.999858789731
2801000000.00	3840956052.04	1643627.00000	1643642.00000	0.999990873925
2802000000.00	3840956053.32	1635968.00000	1638207.00000	0.998633261853
2803000000.00	3840956054.60	1631321.00000	1636169.00000	0.997036980899
2804000000.00	3840956055.88	1631433.00000	1633277.00000	0.998870981469
2805000000.00	3840956057.17	1634566.00000	1636894.00000	0.998577794286
2806000000.00	3840956058.45	1644840.00000	1643920.00000	1.00055963794
2807000000.00	3840956059.73	1636429.00000	1638295.00000	0.998861010990
2808000000.00	3840956061.01	1641210.00000	1642464.00000	0.999236512946
2809000000.00	3840956062.29	1643874.00000	1643761.00000	1.00006874479
2810000000.00	3840956063.57	1641545.00000	1642664.00000	0.999318789479
2811000000.00	3840956064.85	1638510.00000	1641524.00000	0.998163901350
2812000000.00	3840956066.13	1633906.00000	1635983.00000	0.998730426905
2813000000.00	3840956067.41	1640937.00000	1647072.00000	0.996275208370
2814000000.00	3840956068.70	1636899.00000	1640982.00000	0.997511855706
2815000000.00	3840956069.98	1639882.00000	1641887.00000	0.998778844098
2816000000.00	3840956071.26	1640451.00000	1644221.00000	0.997707120880
2817000000.00	3840956072.54	1646373.00000	1649098.00000	0.998347581526
2818000000.00	3840956073.82	1632867.00000	1639207.00000	0.996132276155
2819000000.00	3840956075.10	1641587.00000	1644224.00000	0.998396203924
2820000000.00	3840956076.38	1638748.00000	1646291.00000	0.995418185485
2821000000.00	3840956077.66	1637928.00000	1643969.00000	0.996325356500
2822000000.00	3840956078.94	1635178.00000	1642628.00000	0.995464584799
2823000000.00	3840956080.22	1636320.00000	1649601.00000	0.991948962204
2824000000.00	3840956081.50	1627049.00000	1640766.00000	0.991639880397
2825000000.00	3840956082.78	1621465.00000	1638531.00000	0.989584573011
2826000000.00	3840956084.06	1614764.00000	1633816.00000	0.988338956162
2827000000.00	3840956085.35	1624041.00000	1645473.00000	0.986975173704
2828000000.00	3840956086.63	1615873.00000	1644900.00000	0.982353334549
2829000000.00	3840956087.92	1615782.00000	1643674.00000	0.983030698301
2830000000.00	3840956089.20	1607480.00000	1636662.00000	0.982169806594
2831000000.00	3840956090.48	1601946.00000	1635347.00000	0.979575588545
2832000000.00	3840956091.76	1616426.00000	1647527.00000	0.981122615896
2833000000.00	3840956093.04	1620048.00000	1649205.00000	0.982320572640
2834000000.00	3840956094.32	1622039.00000	1649959.00000	0.983078367402
2835000000.00	3840956095.59	1625618.00000	1650789.00000	0.984752139734
2836000000.00	3840956096.87	1623548.00000	1643826.00000	0.987664144502
2837000000.00	3840956098.15	1632892.00000	1650504.00000	0.989329320014
2838000000.00	3840956099.43	1632980.00000	1646163.00000	0.991991680046
2839000000.00	3840956100.73	1632618.00000	1643458.00000	0.993404151490
2840000000.00	3840956102.01	1638323.00000	1649550.00000	0.993193901367
2841000000.00	3840956103.29	1643037.00000	1648327.00000	0.996790685343
2842000000.00	3840956104.57	1637129.00000	1646001.00000	0.994609966823
2843000000.00	3840956105.86	1629638.00000	1636257.00000	0.995954791943
2844000000.00	3840956107.14	1637253.00000	1645958.00000	0.994711286679
2845000000.00	3840956108.42	1634857.00000	1644268.00000	0.994276480476
2846000000.00	3840956109.70	1644342.00000	1651337.00000	0.995764038473
2847000000.00	3840956110.98	1639084.00000	1648176.00000	0.994483598839
2848000000.00	3840956112.26	1631511.00000	1642202.00000	0.993489838643
2849000000.00	3840956113.54	1628577.00000	1639177.00000	0.993533340207
2850000000.00	3840956114.82	1635963.00000	1645675.00000	0.994098470233
2851000000.00	3840956116.10	1629850.00000	1643494.00000	0.991698174742
2852000000.00	3840956117.38	1623473.00000	1641909.00000	0.988771606709
2853000000.00	3840956118.66	1627577.00000	1646329.00000	0.988609810068
2854000000.00	3840956119.95	1624316.00000	1642566.00000	0.988889335345
2855000000.00	3840956121.24	1623067.00000	1644448.00000	0.986998068653
2856000000.00	3840956122.52	1616800.00000	1636400.00000	0.988022488389
2857000000.00	3840956123.80	1624138.00000	1644798.00000	0.987439187061
