#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840947761.62	1748498.00000	1751325.00000	0.998385793613
2751000000.00	3840947762.90	1746466.00000	1748678.00000	0.998735044416
2752000000.00	3840947764.19	1752844.00000	1752764.00000	1.00004564220
2753000000.00	3840947765.47	1755815.00000	1755121.00000	1.00039541433
2754000000.00	3840947766.75	1747121.00000	1748606.00000	0.999150752085
2755000000.00	3840947768.03	1755953.00000	1758162.00000	0.998743574255
2756000000.00	3840947769.31	1750636.00000	1751643.00000	0.999425111167
2757000000.00	3840947770.59	1753172.00000	1754037.00000	0.999506851908
2758000000.00	3840947771.87	1754232.00000	1757807.00000	0.997966215859
2759000000.00	3840947773.16	1749959.00000	1750449.00000	0.999720071822
2760000000.00	3840947774.45	1739773.00000	1740485.00000	0.999590918623
2761000000.00	3840947775.73	1748003.00000	1750266.00000	0.998707053671
2762000000.00	3840947777.01	1749955.00000	1747792.00000	1.00123756145
2763000000.00	3840947778.29	1748989.00000	1749865.00000	0.999499389953
2764000000.00	3840947779.56	1753904.00000	1754927.00000	0.999417069770
2765000000.00	3840947780.85	1756575.00000	1756479.00000	1.00005465480
2766000000.00	3840947782.13	1754888.00000	1754058.00000	1.00047318846
2767000000.00	3840947783.41	1755144.00000	1754623.00000	1.00029692988
2768000000.00	3840947784.70	1749234.00000	1751821.00000	0.998523250949
2769000000.00	3840947785.98	1752550.00000	1753780.00000	0.999298657756
2770000000.00	3840947787.26	1763169.00000	1765273.00000	0.998808116365
2771000000.00	3840947788.54	1753291.00000	1756021.00000	0.998445348888
2772000000.00	3840947789.82	1757163.00000	1757041.00000	1.00006943492
2773000000.00	3840947791.10	1749889.00000	1750288.00000	0.999772037516
2774000000.00	3840947792.38	1749021.00000	1754837.00000	0.996685732065
2775000000.00	3840947793.66	1749905.00000	1750614.00000	0.999594999240
2776000000.00	3840947794.94	1743076.00000	1745098.00000	0.998841325817
2777000000.00	3840947796.22	1749568.00000	1751759.00000	0.998749257175
