#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840955639.85	1678176.00000	1678807.00000	0.999624137855
2751000000.00	3840955641.15	1669508.00000	1669537.00000	0.999982629915
2752000000.00	3840955642.43	1664877.00000	1665427.00000	0.999669754363
2753000000.00	3840955643.71	1672653.00000	1671725.00000	1.00055511523
2754000000.00	3840955644.99	1666360.00000	1666215.00000	1.00008702358
2755000000.00	3840955646.28	1653643.00000	1655222.00000	0.999046049412
2756000000.00	3840955647.56	1670811.00000	1671419.00000	0.999636237233
2757000000.00	3840955648.84	1662577.00000	1664851.00000	0.998634112002
2758000000.00	3840955650.12	1646917.00000	1648143.00000	0.999256132508
2759000000.00	3840955651.40	1662248.00000	1665256.00000	0.998193671123
2760000000.00	3840955652.68	1652594.00000	1650216.00000	1.00144102348
2761000000.00	3840955653.96	1656202.00000	1656229.00000	0.999983697907
2762000000.00	3840955655.23	1664097.00000	1664954.00000	0.999485271065
2763000000.00	3840955656.51	1661764.00000	1665146.00000	0.997968946867
2764000000.00	3840955657.79	1662670.00000	1664200.00000	0.999080639346
2765000000.00	3840955659.07	1677379.00000	1678459.00000	0.999356552647
2766000000.00	3840955660.35	1665204.00000	1666464.00000	0.999243908059
2767000000.00	3840955661.63	1667959.00000	1670231.00000	0.998639709118
2768000000.00	3840955662.92	1658131.00000	1660178.00000	0.998766999683
2769000000.00	3840955664.20	1653712.00000	1656126.00000	0.998542381437
2770000000.00	3840955665.48	1655629.00000	1655723.00000	0.999943227219
2771000000.00	3840955666.76	1665202.00000	1665772.00000	0.999657816316
2772000000.00	3840955668.05	1658219.00000	1658079.00000	1.00008443506
2773000000.00	3840955669.33	1664516.00000	1666231.00000	0.998970730949
2774000000.00	3840955670.62	1663301.00000	1663940.00000	0.999615971730
2775000000.00	3840955671.91	1662500.00000	1661846.00000	1.00039353827
2776000000.00	3840955673.20	1671303.00000	1670590.00000	1.00042679532
2777000000.00	3840955674.48	1664086.00000	1665134.00000	0.999370621223
2778000000.00	3840955675.76	1663071.00000	1663963.00000	0.999463930388
2779000000.00	3840955677.04	1663152.00000	1667470.00000	0.997410448164
2780000000.00	3840955678.32	1656750.00000	1659805.00000	0.998159422342
2781000000.00	3840955679.61	1664294.00000	1667324.00000	0.998182716737
2782000000.00	3840955680.90	1651443.00000	1652449.00000	0.999391206627
2783000000.00	3840955682.18	1663151.00000	1662846.00000	1.00018342047
2784000000.00	3840955683.46	1660256.00000	1660639.00000	0.999769365889
2785000000.00	3840955684.75	1670132.00000	1670109.00000	1.00001377156
2786000000.00	3840955686.03	1664020.00000	1663968.00000	1.00003125060
2787000000.00	3840955687.32	1662684.00000	1663500.00000	0.999509467989
2788000000.00	3840955688.60	1656497.00000	1659247.00000	0.998342621683
2789000000.00	3840955689.88	1661240.00000	1665992.00000	0.997147645367
2790000000.00	3840955691.17	1667483.00000	1669155.00000	0.998998295545
2791000000.00	3840955692.45	1667915.00000	1667510.00000	1.00024287710
2792000000.00	3840955693.73	1661632.00000	1662099.00000	0.999719029974
2793000000.00	3840955695.01	1658018.00000	1659093.00000	0.999352055611
2794000000.00	3840955696.29	1666397.00000	1667164.00000	0.999539937283
2795000000.00	3840955697.58	1668747.00000	1669074.00000	0.999804082983
2796000000.00	3840955698.87	1671664.00000	1673134.00000	0.999121409283
2797000000.00	3840955700.15	1673049.00000	1674697.00000	0.999015941391
2798000000.00	3840955701.43	1664310.00000	1663654.00000	1.00039431276
2799000000.00	3840955702.71	1664767.00000	1666108.00000	0.999195130208
2800000000.00	3840955703.99	1663791.00000	1666943.00000	0.998109113509
