#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840954263.94	1724458.00000	1724806.00000	0.999798238179
2751000000.00	3840954265.23	1725065.00000	1725632.00000	0.999671424730
2752000000.00	3840954266.51	1727718.00000	1725788.00000	1.00111832971
2753000000.00	3840954267.79	1726926.00000	1727015.00000	0.999948465995
2754000000.00	3840954269.06	1725954.00000	1725341.00000	1.00035529208
2755000000.00	3840954270.34	1713442.00000	1715544.00000	0.998774732680
2756000000.00	3840954271.64	1718163.00000	1719938.00000	0.998967986055
2757000000.00	3840954272.92	1723540.00000	1725606.00000	0.998802739443
2758000000.00	3840954274.21	1715392.00000	1718227.00000	0.998350043388
2759000000.00	3840954275.49	1713767.00000	1716696.00000	0.998293815562
2760000000.00	3840954276.77	1711785.00000	1712221.00000	0.999745359974
2761000000.00	3840954278.05	1709547.00000	1710556.00000	0.999410133313
2762000000.00	3840954279.35	1710675.00000	1710861.00000	0.999891282810
2763000000.00	3840954280.63	1711318.00000	1711069.00000	1.00014552306
2764000000.00	3840954281.91	1702908.00000	1705927.00000	0.998230287697
2765000000.00	3840954283.19	1710617.00000	1710636.00000	0.999988893020
2766000000.00	3840954284.47	1713968.00000	1714110.00000	0.999917158175
2767000000.00	3840954285.75	1714502.00000	1716353.00000	0.998921550520
2768000000.00	3840954287.03	1718272.00000	1718152.00000	1.00006984248
2769000000.00	3840954288.31	1718585.00000	1719761.00000	0.999316184051
2770000000.00	3840954289.59	1714352.00000	1714853.00000	0.999707846678
2771000000.00	3840954290.87	1700935.00000	1703722.00000	0.998364169741
2772000000.00	3840954292.15	1711992.00000	1713135.00000	0.999332802143
2773000000.00	3840954293.45	1716996.00000	1720058.00000	0.998219827471
2774000000.00	3840954294.73	1700096.00000	1700093.00000	1.00000176461
2775000000.00	3840954296.01	1713759.00000	1712552.00000	1.00070479612
2776000000.00	3840954297.28	1721470.00000	1723440.00000	0.998856937288
2777000000.00	3840954298.56	1709681.00000	1709764.00000	0.999951455289
2778000000.00	3840954299.85	1709454.00000	1708563.00000	1.00052149087
2779000000.00	3840954301.13	1710183.00000	1709335.00000	1.00049609936
2780000000.00	3840954302.41	1709147.00000	1711871.00000	0.998408758604
2781000000.00	3840954303.69	1711077.00000	1712885.00000	0.998944470878
2782000000.00	3840954304.97	1704309.00000	1706228.00000	0.998875296854
2783000000.00	3840954306.26	1711176.00000	1711445.00000	0.999842822878
2784000000.00	3840954307.54	1710555.00000	1712314.00000	0.998972735141
2785000000.00	3840954308.83	1701282.00000	1702979.00000	0.999003510906
2786000000.00	3840954310.11	1709455.00000	1709153.00000	1.00017669571
2787000000.00	3840954311.39	1703655.00000	1703806.00000	0.999911374887
2788000000.00	3840954312.67	1706999.00000	1708600.00000	0.999062975536
2789000000.00	3840954313.95	1698802.00000	1701368.00000	0.998491801891
2790000000.00	3840954315.23	1712421.00000	1714820.00000	0.998601019349
2791000000.00	3840954316.51	1715597.00000	1714795.00000	1.00046769439
2792000000.00	3840954317.79	1728483.00000	1731207.00000	0.998426531316
2793000000.00	3840954319.07	1716511.00000	1720686.00000	0.997573642140
2794000000.00	3840954320.35	1714520.00000	1714927.00000	0.999762672114
2795000000.00	3840954321.63	1714796.00000	1715679.00000	0.999485334961
2796000000.00	3840954322.92	1720830.00000	1720809.00000	1.00001220356
2797000000.00	3840954324.20	1710434.00000	1713282.00000	0.998337693386
2798000000.00	3840954325.48	1716394.00000	1716253.00000	1.00008215572
2799000000.00	3840954326.76	1715938.00000	1715841.00000	1.00005653204
2800000000.00	3840954328.06	1709805.00000	1708553.00000	1.00073278382
2801000000.00	3840954329.34	1718893.00000	1719394.00000	0.999708618269
2802000000.00	3840954330.62	1717674.00000	1720616.00000	0.998290147250
2803000000.00	3840954331.90	1706811.00000	1708753.00000	0.998863498703
2804000000.00	3840954333.18	1700829.00000	1703072.00000	0.998682968189
2805000000.00	3840954334.46	1713886.00000	1716132.00000	0.998691242865
2806000000.00	3840954335.75	1707507.00000	1712373.00000	0.997158329406
2807000000.00	3840954337.04	1708932.00000	1712938.00000	0.997661328081
2808000000.00	3840954338.32	1703803.00000	1705563.00000	0.998968082680
2809000000.00	3840954339.60	1708101.00000	1709514.00000	0.999173449296
2810000000.00	3840954340.88	1706262.00000	1708121.00000	0.998911669607
2811000000.00	3840954342.16	1705767.00000	1707787.00000	0.998817182705
2812000000.00	3840954343.45	1704048.00000	1710087.00000	0.996468600720
2813000000.00	3840954344.74	1704042.00000	1711621.00000	0.995572033762
2814000000.00	3840954346.01	1687942.00000	1696451.00000	0.994984234735
2815000000.00	3840954347.29	1699189.00000	1707856.00000	0.994925216177
2816000000.00	3840954348.57	1692357.00000	1699445.00000	0.995829226600
2817000000.00	3840954349.85	1681238.00000	1694138.00000	0.992385508146
2818000000.00	3840954351.14	1692739.00000	1707578.00000	0.991309913808
2819000000.00	3840954352.43	1691008.00000	1712279.00000	0.987577374949
2820000000.00	3840954353.72	1674655.00000	1697507.00000	0.986537905293
2821000000.00	3840954355.00	1686642.00000	1707151.00000	0.987986417136
2822000000.00	3840954356.29	1682959.00000	1704761.00000	0.987211110531
2823000000.00	3840954357.57	1684940.00000	1704284.00000	0.988649779027
2824000000.00	3840954358.85	1668371.00000	1685876.00000	0.989616674061
2825000000.00	3840954360.13	1675879.00000	1692269.00000	0.990314778561
2826000000.00	3840954361.41	1693119.00000	1705277.00000	0.992870366515
2827000000.00	3840954362.68	1702789.00000	1710448.00000	0.995522225756
2828000000.00	3840954363.96	1695072.00000	1700304.00000	0.996922903198
2829000000.00	3840954365.24	1696241.00000	1702665.00000	0.996227091060
2830000000.00	3840954366.52	1690117.00000	1695927.00000	0.996574144996
2831000000.00	3840954367.80	1692536.00000	1701137.00000	0.994943969827
2832000000.00	3840954369.08	1711079.00000	1717289.00000	0.996383835219
2833000000.00	3840954370.36	1709973.00000	1717820.00000	0.995432001025
2834000000.00	3840954371.64	1701862.00000	1711473.00000	0.994384369488
2835000000.00	3840954372.93	1696491.00000	1706172.00000	0.994325894458
2836000000.00	3840954374.21	1699194.00000	1707369.00000	0.995211931340
2837000000.00	3840954375.50	1699930.00000	1710012.00000	0.994104134942
2838000000.00	3840954376.78	1689511.00000	1700802.00000	0.993361367167
2839000000.00	3840954378.06	1676810.00000	1690428.00000	0.991944052039
2840000000.00	3840954379.34	1688158.00000	1705379.00000	0.989901951414
