#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840946328.98	1806195.00000	1805468.00000	1.00040266568
2751000000.00	3840946330.26	1821611.00000	1819759.00000	1.00101771718
2752000000.00	3840946331.54	1804009.00000	1804076.00000	0.999962861875
2753000000.00	3840946332.82	1809483.00000	1809592.00000	0.999939765428
2754000000.00	3840946334.10	1806831.00000	1807960.00000	0.999375539282
2755000000.00	3840946335.38	1811183.00000	1813706.00000	0.998608925592
2756000000.00	3840946336.66	1814565.00000	1814045.00000	1.00028665221
2757000000.00	3840946337.95	1805009.00000	1805201.00000	0.999893640653
2758000000.00	3840946339.23	1809453.00000	1812257.00000	0.998452758080
2759000000.00	3840946340.51	1809274.00000	1807438.00000	1.00101580248
2760000000.00	3840946341.80	1810322.00000	1812043.00000	0.999050243289
2761000000.00	3840946343.09	1815512.00000	1819938.00000	0.997568049021
2762000000.00	3840946344.37	1801721.00000	1804609.00000	0.998399653332
2763000000.00	3840946345.65	1799563.00000	1800015.00000	0.999748890981
2764000000.00	3840946346.93	1809597.00000	1808492.00000	1.00061100630
2765000000.00	3840946348.21	1801763.00000	1805424.00000	0.997972221484
2766000000.00	3840946349.49	1805144.00000	1804983.00000	1.00008919752
2767000000.00	3840946350.77	1812606.00000	1817494.00000	0.997310582593
2768000000.00	3840946352.05	1803324.00000	1806028.00000	0.998502791762
2769000000.00	3840946353.33	1802896.00000	1802871.00000	1.00001386677
2770000000.00	3840946354.61	1809524.00000	1811682.00000	0.998808841728
2771000000.00	3840946355.90	1801449.00000	1800661.00000	1.00043761708
2772000000.00	3840946357.18	1798001.00000	1799530.00000	0.999150333698
2773000000.00	3840946358.46	1808044.00000	1808422.00000	0.999790977991
2774000000.00	3840946359.74	1820091.00000	1820832.00000	0.999593043180
2775000000.00	3840946361.02	1813160.00000	1816920.00000	0.997930563811
2776000000.00	3840946362.31	1814376.00000	1816463.00000	0.998851063853
2777000000.00	3840946363.59	1818863.00000	1819053.00000	0.999895550047
2778000000.00	3840946364.86	1810483.00000	1809915.00000	1.00031382689
2779000000.00	3840946366.13	1805744.00000	1808580.00000	0.998431918964
2780000000.00	3840946367.42	1811850.00000	1812590.00000	0.999591744410
2781000000.00	3840946368.70	1815893.00000	1817553.00000	0.999086684130
2782000000.00	3840946369.98	1811939.00000	1815438.00000	0.998072641423
2783000000.00	3840946371.26	1815431.00000	1817069.00000	0.999098548266
2784000000.00	3840946372.53	1814133.00000	1814788.00000	0.999639076300
2785000000.00	3840946373.81	1807446.00000	1806124.00000	1.00073195417
2786000000.00	3840946375.09	1807698.00000	1810946.00000	0.998206462258
2787000000.00	3840946376.37	1807318.00000	1811286.00000	0.997809291299
2788000000.00	3840946377.65	1806649.00000	1807242.00000	0.999671875709
2789000000.00	3840946378.94	1809714.00000	1814850.00000	0.997170014051
2790000000.00	3840946380.22	1803969.00000	1805564.00000	0.999116619516
2791000000.00	3840946381.51	1804938.00000	1805597.00000	0.999635023762
2792000000.00	3840946382.79	1810603.00000	1811539.00000	0.999483312255
2793000000.00	3840946384.07	1814060.00000	1814644.00000	0.999678173791
2794000000.00	3840946385.35	1809787.00000	1810723.00000	0.999483079411
2795000000.00	3840946386.64	1816354.00000	1816819.00000	0.999744058159
2796000000.00	3840946387.93	1795016.00000	1798448.00000	0.998091687944
2797000000.00	3840946389.21	1796496.00000	1802014.00000	0.996937870627
2798000000.00	3840946390.49	1799334.00000	1802959.00000	0.997989416287
2799000000.00	3840946391.77	1807162.00000	1809619.00000	0.998642255635
2800000000.00	3840946393.05	1803375.00000	1805796.00000	0.998659316999
2801000000.00	3840946394.33	1798129.00000	1802842.00000	0.997385794207
2802000000.00	3840946395.61	1797237.00000	1799344.00000	0.998829017686
2803000000.00	3840946396.90	1793271.00000	1800236.00000	0.996131062816
2804000000.00	3840946398.18	1799756.00000	1804040.00000	0.997625329815
2805000000.00	3840946399.47	1799118.00000	1803434.00000	0.997606787939
2806000000.00	3840946400.75	1796906.00000	1801245.00000	0.997591110593
2807000000.00	3840946402.03	1796012.00000	1797533.00000	0.999153840291
2808000000.00	3840946403.32	1793190.00000	1796535.00000	0.998138082475
2809000000.00	3840946404.60	1794593.00000	1797483.00000	0.998392196199
2810000000.00	3840946405.89	1801760.00000	1805489.00000	0.997934631560
2811000000.00	3840946407.17	1800965.00000	1805517.00000	0.997478838471
2812000000.00	3840946408.45	1799349.00000	1802905.00000	0.998027627634
