#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840953901.21	1727691.00000	1729781.00000	0.998791754563
2751000000.00	3840953902.50	1731132.00000	1732404.00000	0.999265760181
2752000000.00	3840953903.78	1730968.00000	1729517.00000	1.00083896255
2753000000.00	3840953905.07	1727203.00000	1726630.00000	1.00033186033
2754000000.00	3840953906.36	1725712.00000	1726475.00000	0.999558059051
2755000000.00	3840953907.64	1726990.00000	1724501.00000	1.00144331607
2756000000.00	3840953908.92	1724123.00000	1725871.00000	0.998987178068
2757000000.00	3840953910.20	1724199.00000	1724971.00000	0.999552456244
2758000000.00	3840953911.48	1721899.00000	1721619.00000	1.00016263761
2759000000.00	3840953912.77	1732604.00000	1729970.00000	1.00152256976
2760000000.00	3840953914.06	1728319.00000	1731217.00000	0.998326033074
2761000000.00	3840953915.34	1742753.00000	1740817.00000	1.00111212149
2762000000.00	3840953916.62	1734036.00000	1736116.00000	0.998801923374
2763000000.00	3840953917.90	1735605.00000	1734165.00000	1.00083037081
2764000000.00	3840953919.18	1735479.00000	1736629.00000	0.999337797538
2765000000.00	3840953920.47	1719580.00000	1719811.00000	0.999865682915
2766000000.00	3840953921.75	1707857.00000	1711298.00000	0.997989245590
2767000000.00	3840953923.02	1722001.00000	1719452.00000	1.00148244906
2768000000.00	3840953924.30	1723400.00000	1726751.00000	0.998059361193
2769000000.00	3840953925.58	1709309.00000	1710711.00000	0.999180457716
2770000000.00	3840953926.86	1717916.00000	1718948.00000	0.999399632799
2771000000.00	3840953928.14	1715908.00000	1718664.00000	0.998396428854
2772000000.00	3840953929.42	1715788.00000	1716375.00000	0.999658000146
2773000000.00	3840953930.70	1721010.00000	1719401.00000	1.00093579101
2774000000.00	3840953931.99	1720217.00000	1719540.00000	1.00039370995
2775000000.00	3840953933.26	1727409.00000	1729275.00000	0.998920935074
2776000000.00	3840953934.54	1720818.00000	1722711.00000	0.998901150570
2777000000.00	3840953935.82	1727102.00000	1728950.00000	0.998931143179
2778000000.00	3840953937.10	1715300.00000	1718720.00000	0.998010147086
2779000000.00	3840953938.38	1715069.00000	1718120.00000	0.998224221824
2780000000.00	3840953939.66	1732961.00000	1735334.00000	0.998632539903
2781000000.00	3840953940.94	1729190.00000	1732588.00000	0.998038772057
2782000000.00	3840953942.22	1729716.00000	1730804.00000	0.999371390406
2783000000.00	3840953943.50	1718220.00000	1720492.00000	0.998679447507
2784000000.00	3840953944.79	1725546.00000	1725902.00000	0.999793731046
2785000000.00	3840953946.07	1722653.00000	1727268.00000	0.997328150582
2786000000.00	3840953947.35	1717237.00000	1719410.00000	0.998736194392
2787000000.00	3840953948.64	1713667.00000	1715371.00000	0.999006628887
2788000000.00	3840953949.92	1723666.00000	1726537.00000	0.998337133812
2789000000.00	3840953951.20	1723672.00000	1727065.00000	0.998035395309
2790000000.00	3840953952.48	1731909.00000	1733265.00000	0.999217661466
2791000000.00	3840953953.76	1729341.00000	1731180.00000	0.998937718781
2792000000.00	3840953955.04	1713957.00000	1715930.00000	0.998850186196
2793000000.00	3840953956.31	1721619.00000	1720187.00000	1.00083246763
2794000000.00	3840953957.58	1723111.00000	1722175.00000	1.00054349877
2795000000.00	3840953958.86	1721819.00000	1724361.00000	0.998525830728
2796000000.00	3840953960.13	1729351.00000	1733685.00000	0.997500122571
