#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840952873.81	1749108.00000	1749225.00000	0.999933113236
2751000000.00	3840952875.12	1755494.00000	1758416.00000	0.998338277177
2752000000.00	3840952876.41	1754918.00000	1755208.00000	0.999834777417
2753000000.00	3840952877.69	1772100.00000	1771859.00000	1.00013601534
2754000000.00	3840952878.98	1757011.00000	1755048.00000	1.00111848793
2755000000.00	3840952880.26	1760274.00000	1763509.00000	0.998165589175
2756000000.00	3840952881.54	1756230.00000	1753772.00000	1.00140155049
2757000000.00	3840952882.82	1749908.00000	1749000.00000	1.00051915380
2758000000.00	3840952884.11	1746350.00000	1746762.00000	0.999764135011
2759000000.00	3840952885.39	1737968.00000	1738896.00000	0.999466328061
2760000000.00	3840952886.67	1742689.00000	1742818.00000	0.999925981944
2761000000.00	3840952887.95	1732512.00000	1731886.00000	1.00036145566
2762000000.00	3840952889.23	1729039.00000	1731365.00000	0.998656551334
2763000000.00	3840952890.52	1729802.00000	1731693.00000	0.998908005056
2764000000.00	3840952891.80	1741794.00000	1747025.00000	0.997005766947
2765000000.00	3840952893.09	1744999.00000	1746033.00000	0.999407800425
2766000000.00	3840952894.37	1738390.00000	1739466.00000	0.999381419355
2767000000.00	3840952895.65	1746638.00000	1745161.00000	1.00084634025
2768000000.00	3840952896.93	1740749.00000	1741227.00000	0.999725480940
2769000000.00	3840952898.22	1753767.00000	1754750.00000	0.999439806240
2770000000.00	3840952899.50	1738535.00000	1736784.00000	1.00100818524
2771000000.00	3840952900.78	1746972.00000	1745171.00000	1.00103199056
2772000000.00	3840952902.06	1746900.00000	1749683.00000	0.998409426165
2773000000.00	3840952903.35	1735280.00000	1736833.00000	0.999105843797
2774000000.00	3840952904.63	1749266.00000	1752186.00000	0.998333510255
2775000000.00	3840952905.90	1746562.00000	1746861.00000	0.999828835838
2776000000.00	3840952907.18	1741765.00000	1744486.00000	0.998440228239
2777000000.00	3840952908.47	1733748.00000	1735989.00000	0.998709093203
2778000000.00	3840952909.75	1732871.00000	1734530.00000	0.999043544937
2779000000.00	3840952911.03	1742741.00000	1743517.00000	0.999554922608
2780000000.00	3840952912.30	1733262.00000	1735596.00000	0.998655216998
2781000000.00	3840952913.59	1744817.00000	1743940.00000	1.00050288427
2782000000.00	3840952914.87	1746111.00000	1745969.00000	1.00008133020
2783000000.00	3840952916.15	1745622.00000	1749237.00000	0.997933384670
2784000000.00	3840952917.43	1741549.00000	1740850.00000	1.00040152799
2785000000.00	3840952918.71	1740122.00000	1740524.00000	0.999769035072
2786000000.00	3840952919.99	1746180.00000	1746434.00000	0.999854560779
2787000000.00	3840952921.27	1742125.00000	1741863.00000	1.00015041367
2788000000.00	3840952922.55	1748001.00000	1751234.00000	0.998153873212
